종명,접수일시,도로유형,도로명
고양이,2020-01-01,국도,29
고라니,2020-01-01,국도,일반국도39호선
고라니,2020-01-02,국도,일반국도32호선
고라니,2020-01-02,국도,17
어치,2020-01-02,국도,5
고라니,2020-01-03,국도,일반국도35호선
고라니,2020-01-03,국도,일반국도24호선
고양이,2020-01-03,국도,4
멧돼지,2020-01-03,국도,일반국도 19호선
고라니,2020-01-03,국도,일반국도32호선
고라니,2020-01-03,국도,30
고라니,2020-01-04,국도,일반국도34호선
고양이,2020-01-05,국도,일반국도32호선
고라니,2020-01-05,국도,일반국도32호선
고양이,2020-01-06,국도,일반국도24호선
고양이,2020-01-06,국도,일반국도7호선
너구리,2020-01-06,국도,4
고라니,2020-01-06,국도,일반국도1호선
고라니,2020-01-06,국도,24
닭,2020-01-06,국도,17
고라니,2020-01-06,국도,17
고라니,2020-01-06,국도,26
고양이,2020-01-07,국도,4
고라니,2020-01-07,국도,일반국도21호선
고라니,2020-01-07,국도,17
고양이,2020-01-08,국도,일반국도20호선
고양이,2020-01-08,국도,일반국도7호선
고양이,2020-01-08,국도,일반국도24호선
고양이,2020-01-08,국도,일반국도21호선
고라니,2020-01-08,국도,17
고양이,2020-01-09,국도,일반국도24호선
고라니,2020-01-09,국도,일반국도43호선
고라니,2020-01-10,국도,일반국도31호선
고양이,2020-01-10,국도,일반국도24호선
고라니,2020-01-10,국도,일반국도45호선
개,2020-01-10,국도,19
고양이,2020-01-11,국도,일반국도 31호선
고라니,2020-01-11,국도,일반국도34호선
고양이,2020-01-11,국도,24
고양이,2020-01-11,국도,24
고라니,2020-01-11,국도,24
고양이,2020-01-12,국도,국도77호
고양이,2020-01-12,국도,일반국도32호선
고양이,2020-01-13,국도,일반국도35호선
고라니,2020-01-13,국도,일반국도32호선
개,2020-01-13,국도,17
고양이,2020-01-13,국도,17
고양이,2020-01-14,국도,일반국도24호선
고양이,2020-01-14,국도,일반국도24호선
고라니,2020-01-14,국도,일반국도32호선
고양이,2020-01-14,국도,17
개,2020-01-14,국도,19
고라니,2020-01-15,국도,일반국도31호선
고양이,2020-01-15,국도,4
고양이,2020-01-15,국도,일반국도32호선
너구리,2020-01-15,국도,17
고양이,2020-01-16,국도,일반국도14호선
고양이,2020-01-16,국도,일반국도21호선
고양이,2020-01-17,국도,일반국도 7호선
고양이,2020-01-17,국도,일반국도 7호선
고라니,2020-01-17,국도,일반국도31호선
고라니,2020-01-17,국도,일반국도24호선
고라니,2020-01-17,국도,일반국도32호선
고라니,2020-01-18,국도,일반국도45호선
고양이,2020-01-19,국도,일반국도34호선
고양이,2020-01-20,국도,일반국도24호선
너구리,2020-01-20,국도,17
고라니,2020-01-20,국도,일반국도32호선
너구리,2020-01-20,국도,19
고양이,2020-01-21,국도,일반국도 7호선
고라니,2020-01-21,국도,일반국도7호선
고라니,2020-01-21,국도,17
고라니,2020-01-21,국도,일반국도34호선
고양이,2020-01-22,국도,일반국도 7호선
고라니,2020-01-22,국도,일반국도 7호선
고라니,2020-01-22,국도,일반국도19호선
고라니,2020-01-22,국도,일반국도38호선
고양이,2020-01-23,국도,일반국도7호선
개,2020-01-23,국도,17
고라니,2020-01-23,국도,일반국도38호선
고양이,2020-01-24,국도,일반국도 7호선
고라니,2020-01-24,국도,일반국도39호선
고라니,2020-01-25,국도,일반국도21호선
고라니,2020-01-26,국도,일반국도21호선
고라니,2020-01-27,국도,일반국도19호선
고라니,2020-01-27,국도,일반국도34호선
고양이,2020-01-28,국도,일반국도 7호선
개,2020-01-28,국도,일반국도5호선
고양이,2020-01-28,국도,일반국도32호선
개,2020-01-29,국도,일반국도5호선
고라니,2020-01-29,국도,일반국도24호선
고라니,2020-01-29,국도,일반국도45호선
고라니,2020-01-30,국도,일반국도29호선
고양이,2020-01-31,국도,일반국도 7호선
고라니,2020-01-31,국도,일반국도7호선
고라니,2020-01-31,국도,일반국도21호선
고라니,2020-02-01,국도,일반국도1호선
멧돼지,2020-02-02,국도,일반국도 31호선
너구리,2020-02-02,국도,일반국도39호선
고양이,2020-02-03,국도,일반국도24호선
고양이,2020-02-03,국도,4
고양이,2020-02-03,국도,17
고양이,2020-02-03,국도,17
고양이,2020-02-03,국도,17
고양이,2020-02-03,국도,일반국도38호선
고라니,2020-02-04,국도,일반국도24호선
족제비,2020-02-04,국도,17
고양이,2020-02-04,국도,일반국도38호선
고양이,2020-02-05,국도,일반국도35호선
개,2020-02-05,국도,일반국도14호선
고라니,2020-02-05,국도,일반국도24호선
고라니,2020-02-05,국도,일반국도32호선
고라니,2020-02-06,국도,일반국도 7호선
고양이,2020-02-06,국도,일반국도25호선
개,2020-02-06,국도,일반국도14호선
고양이,2020-02-06,국도,일반국도5호선
고양이,2020-02-06,국도,4
고라니,2020-02-06,국도,일반국도39호선
고양이,2020-02-07,국도,일반국도25호선
고라니,2020-02-07,국도,일반국도14호선
고라니,2020-02-07,국도,일반국도39호선
고라니,2020-02-08,국도,일반국도38호선
고라니,2020-02-09,국도,일반국도 7호선
고양이,2020-02-09,국도,일반국도38호선
고양이,2020-02-10,국도,일반국도25호선
고라니,2020-02-10,국도,일반국도39호선
고양이,2020-02-11,국도,일반국도21호선
고양이,2020-02-12,국도,일반국도24호선
고양이,2020-02-12,국도,일반국도24호선
고양이,2020-02-12,국도,17
너구리,2020-02-12,국도,4
매,2020-02-12,국도,17
고라니,2020-02-12,국도,국도40호
고라니,2020-02-12,국도,일반국도21호선
고양이,2020-02-13,국도,17
고라니,2020-02-13,국도,일반국도34호선
개,2020-02-14,국도,일반국도 7호선
고양이,2020-02-14,국도,일반국도24호선
고양이,2020-02-14,국도,일반국도5호선
너구리,2020-02-14,국도,일반국도32호선
고양이,2020-02-15,국도,일반국도19호선
고양이,2020-02-15,국도,일반국도45호선
들꿩,2020-02-15,국도,5
고라니,2020-02-16,국도,일반국도29호선
까마귀,2020-02-17,국도,일반국도24호선
고라니,2020-02-17,국도,일반국도21호선
고라니,2020-02-18,국도,일반국도38호선
족제비,2020-02-18,지방도 ,1021
고라니,2020-02-19,국도,일반국도38호선
고양이,2020-02-19,국도,19
고양이,2020-02-20,국도,일반국도24호선
고라니,2020-02-20,국도,일반국도32호선
고양이,2020-02-21,국도,일반국도25호선
고양이,2020-02-21,국도,일반국도24호선
고양이,2020-02-21,국도,일반국도45호선
고라니,2020-02-21,국도,일반국도45호선
고양이,2020-02-21,국도,일반국도29호선
고양이,2020-02-21,국도,일반국도43호선
고라니,2020-02-24,국도,일반국도25호선
고양이,2020-02-25,국도,일반국도14호선
고양이,2020-02-25,국도,17
너구리,2020-02-25,국도,일반국도21호선
고라니,2020-02-25,국도,26
고양이,2020-02-26,국도,일반국도14호선
너구리,2020-02-26,국도,일반국도21호선
고라니,2020-02-26,시도,첨단과학로
고양이,2020-02-27,국도,일반국도14호선
개,2020-02-27,국도,일반국도35호선
고양이,2020-02-27,국도,일반국도45호선
삵,2020-02-27,지방도,1023
고양이,2020-02-28,국도,일반국도 7호선
고라니,2020-02-28,국도,일반국도5호선
고양이,2020-02-28,국도,일반국도35호선
고양이,2020-02-28,국도,일반국도31호선
고양이,2020-02-28,국도,일반국도5호선
고라니,2020-02-28,국도,일반국도21호선
너구리,2020-02-29,국도,일반국도43호선
고라니,2020-03-01,국도,일반국도43호선
고라니,2020-03-02,국도,일반국도24호선
고양이,2020-03-02,국도,17
고양이,2020-03-02,국도,17
족제비,2020-03-02,국도,17
고양이,2020-03-02,국도,일반국도21호선
너구리,2020-03-03,국도,4
너구리,2020-03-03,국도,17
너구리,2020-03-03,국도,일반국도21호선
두더지,2020-03-03,시도,추봉로
고라니,2020-03-04,국도,17
고양이,2020-03-04,국도,17
너구리,2020-03-04,국도,17
고라니,2020-03-04,국도,일반국도38호선
고라니,2020-03-04,국도,일반국도34호선
너구리,2020-03-04,국도,일반국도34호선
너구리,2020-03-04,국도,일반국도29호선
고양이,2020-03-04,국도,일반국도21호선
고라니,2020-03-04,국도,일반국도21호선
고라니,2020-03-04,국도,일반국도39호선
고라니,2020-03-04,국도,일반국도39호선
고라니,2020-03-04,국도,일반국도21호선
고양이,2020-03-05,국도,일반국도5호선
고라니,2020-03-05,국도,일반국도21호선
고양이,2020-03-06,국도,일반국도24호선
고라니,2020-03-06,국도,일반국도21호선
고라니,2020-03-07,국도,일반국도 19호선
고라니,2020-03-07,국도,일반국도21호선
고라니,2020-03-07,국도,일반국도21호선
고라니,2020-03-07,국도,일반국도45호선
고양이,2020-03-07,국도,일반국도32호선
개,2020-03-07,국도,일반국도21호선
너구리,2020-03-07,국도,일반국도21호선
고라니,2020-03-07,국도,일반국도32호선
고양이,2020-03-07,국도,일반국도1호선
