종명,접수일시,도로유형,도로명
고라니,2021-01-26,국도,24
고양이,2021-01-27,국도,1
너구리,2021-01-27,국도,1
고양이,2021-01-27,국도,4
미동정(포유류),2021-01-27,국도,20
고라니,2021-01-27,국도,1
고라니,2021-01-27,국도,36
미동정(포유류),2021-01-27,국도,23
고양이,2021-01-27,국도,29
고라니,2021-01-27,국도,32
너구리,2021-01-28,국도,4
고양이,2021-01-28,국도,24
미동정(포유류),2021-01-28,국도,5
고양이,2021-01-28,국도,42
삵,2021-01-28,국도,22
삵,2021-01-28,국도,24
개,2021-01-29,국도,42
족제비,2021-01-29,국도,58
고라니,2021-01-29,국도,30
고양이,2021-01-29,국도,29
고라니,2021-01-29,국도,33
개,2021-01-29,국도,32
미동정(포유류),2021-02-01,국도,1
미동정(포유류),2021-02-01,국도,7
고라니,2021-02-01,국도,22
고라니,2021-02-01,국도,15
고라니,2021-02-01,국도,15
개,2021-02-01,국도,45
개,2021-02-01,국도,29
고양이,2021-02-01,국도,31
삵,2021-02-01,국도,29
고라니,2021-02-02,국도,21
고라니,2021-02-02,국도,23
너구리,2021-02-02,국도,30
고양이,2021-02-02,국도,22
고양이,2021-02-02,국도,22
미동정(포유류),2021-02-02,국도,33
족제비,2021-02-02,국도,7
개,2021-02-02,국도,29
고양이,2021-02-02,국도,29
고라니,2021-02-02,국도,7
고양이,2021-02-02,국도,7
미동정(포유류),2021-02-03,국도,42
고라니,2021-02-03,국도,4
미동정(포유류),2021-02-03,국도,7
개,2021-02-03,국도,4
고양이,2021-02-03,국도,6
고양이,2021-02-03,국도,25
고양이,2021-02-03,국도,22
고양이,2021-02-03,국도,19
고양이,2021-02-03,국도,4
고양이,2021-02-03,국도,29
고양이,2021-02-03,국도,29
고양이,2021-02-03,국도,7
고양이,2021-02-03,국도,29
고양이,2021-02-03,국도,22
고라니,2021-02-03,국도,24
삵,2021-02-03,국도,29
고양이,2021-02-03,국도,28
고양이,2021-02-04,국도,7
고양이,2021-02-04,국도,20
고라니,2021-02-04,국도,25
고라니,2021-02-04,국도,5
고라니,2021-02-05,국도,23
개,2021-02-05,국도,35
뉴트리아,2021-02-05,국도,5
너구리,2021-02-06,국도,31
고양이,2021-02-06,국도,5
미동정(포유류),2021-02-07,국도,38
고라니,2021-02-07,국도,38
미동정(포유류),2021-02-08,국도,24
고라니,2021-02-08,국도,3
고라니,2021-02-08,국도,30
고양이,2021-02-08,국도,30
개,2021-02-08,국도,23
고양이,2021-02-08,국도,5
미동정(포유류),2021-02-08,국도,4
고양이,2021-02-08,국도,4
고양이,2021-02-08,국도,30
고양이,2021-02-08,국도,4
고양이,2021-02-08,국도,42
너구리,2021-02-08,국도,26
고양이,2021-02-08,국도,1
미동정(포유류),2021-02-08,국도,32
고양이,2021-02-08,국도,3
미동정(포유류),2021-02-08,국도,45
개,2021-02-08,국도,23
미동정(포유류),2021-02-09,국도,6
고라니,2021-02-09,국도,42
너구리,2021-02-09,국도,22
고양이,2021-02-09,국도,22
고라니,2021-02-09,국도,23
너구리,2021-02-09,국도,7
고양이,2021-02-10,국도,38
고양이,2021-02-10,국도,5
너구리,2021-02-10,국도,1
삵,2021-02-10,국도,32
너구리,2021-02-10,국도,32
고양이,2021-02-10,국도,23
미동정(포유류),2021-02-11,국도,38
미동정(포유류),2021-02-12,국도,7
고라니,2021-02-13,국도,38
미동정(포유류),2021-02-13,국도,45
미동정(포유류),2021-02-13,국도,45
미동정(포유류),2021-02-13,국도,38
고라니,2021-02-13,국도,31
고양이,2021-02-14,국도,7
고라니,2021-02-14,국도,45
고양이,2021-02-14,국도,7
너구리,2021-02-14,국도,7
너구리,2021-02-15,국도,44
미동정(포유류),2021-02-15,국도,23
고양이,2021-02-15,국도,32
미동정(포유류),2021-02-15,국도,31
고양이,2021-02-15,국도,5
수달,2021-02-15,국도,22
고라니,2021-02-15,국도,23
너구리,2021-02-15,국도,22
미동정(포유류),2021-02-15,국도,1
고라니,2021-02-15,국도,1
너구리,2021-02-15,국도,1
미동정(포유류),2021-02-15,국도,1
고양이,2021-02-15,국도,7
미동정(포유류),2021-02-15,국도,1
너구리,2021-02-15,국도,27
고양이,2021-02-15,국도,32
고라니,2021-02-15,국도,29
고양이,2021-02-15,국도,1
삵,2021-02-15,국도,29
미동정(조류),2021-02-15,국도,7
고양이,2021-02-15,국도,37
고양이,2021-02-15,국도,7
미동정,2021-02-16,국도,25
고양이,2021-02-16,국도,1
고라니,2021-02-16,국도,25
미동정(포유류),2021-02-16,국도,23
고양이,2021-02-16,국도,19
고양이,2021-02-16,국도,24
미동정(포유류),2021-02-17,국도,3
미동정,2021-02-17,국도,3
미동정,2021-02-17,국도,3
너구리,2021-02-17,국도,5
고양이,2021-02-18,국도,42
고양이,2021-02-18,국도,3
고라니,2021-02-19,국도,31
족제비,2021-02-19,국도,6
고양이,2021-02-19,국도,30
까치,2021-02-19,국도,30
고양이,2021-02-19,국도,5
말똥가리,2021-02-19,국도,14
미동정(포유류),2021-02-19,국도,22
고양이,2021-02-19,국도,37
미동정(포유류),2021-02-19,국도,29
고라니,2021-02-19,국도,1
고라니,2021-02-19,국도,24
고양이,2021-02-21,국도,7
고라니,2021-02-22,국도,45
고양이,2021-02-22,국도,6
미동정(포유류),2021-02-22,국도,19
고양이,2021-02-22,국도,6
고양이,2021-02-22,국도,36
미동정(조류),2021-02-22,국도,38
고양이,2021-02-22,국도,30
고양이,2021-02-22,국도,30
개,2021-02-22,국도,3
개,2021-02-22,국도,3
고양이,2021-02-22,국도,43
미동정(포유류),2021-02-22,국도,7
고양이,2021-02-22,국도,7
고양이,2021-02-22,국도,28
고양이,2021-02-22,국도,4
족제비,2021-02-22,국도,28
고라니,2021-02-22,국도,36
고라니,2021-02-23,국도,36
고양이,2021-02-23,국도,22
고양이,2021-02-23,국도,7
고양이,2021-02-23,국도,7
고양이,2021-02-23,국도,5
고양이,2021-02-23,국도,29
미동정(포유류),2021-02-24,국도,42
미동정(포유류),2021-02-24,국도,5
고양이,2021-02-24,국도,22
수리부엉이,2021-02-24,국도,43
고양이,2021-02-24,국도,22
미동정(포유류),2021-02-24,국도,5
고양이,2021-02-24,국도,22
고양이,2021-02-24,국도,32
고양이,2021-02-24,국도,4
미동정(포유류),2021-02-25,국도,43
고양이,2021-02-25,국도,7
고양이,2021-02-25,국도,22
고양이,2021-02-25,국도,43
고양이,2021-02-25,국도,1
삵,2021-02-25,국도,23
고양이,2021-02-25,국도,23
고양이,2021-02-25,국도,7
고양이,2021-02-26,국도,32
고양이,2021-02-26,국도,45
고양이,2021-02-26,국도,7
고양이,2021-02-26,국도,22
삵,2021-02-26,국도,22
고양이,2021-02-26,국도,25
고양이,2021-02-26,국도,38
고양이,2021-02-26,국도,1
고양이,2021-02-26,국도,22
고양이,2021-02-27,국도,43
개,2021-02-28,국도,5
고양이,2021-02-28,국도,7
고라니,2021-03-01,국도,7
미동정(포유류),2021-03-02,국도,4
고라니,2021-03-02,국도,36
고라니,2021-03-02,국도,32
고양이,2021-03-02,국도,25
고양이,2021-03-02,국도,45
