종명,접수일시,도로유형,도로명
노루,2019-12-27,지방도,지방도1115호선
고라니,2019-12-27,국도,일반국도43호선
삵,2019-12-27,국도,일반국도27호선
고양이,2019-12-27,국도,일반국도25호선
고양이,2019-12-27,국도,대청로
고라니,2019-12-27,국도,일반국도27호선
고라니,2019-12-27,국도,일반국도25호선
고라니,2019-12-27,국도,일반국도45호선
고양이,2019-12-27,시도,남김천대로
고라니,2019-12-27,국도,일반국도45호선
고양이,2019-12-27,지방도,지방도411호선
멧토끼,2019-12-27,국도,일반국도34호선
고라니,2019-12-27,시도,-
고양이,2019-12-27,지방도,남부로
족제비,2019-12-27,국도,예영로
고양이,2019-12-27,국도,일반국도23호선
너구리,2019-12-27,국도,일반국도14호선
수달,2019-12-27,지방도,지방도411호선
삵,2019-12-27,국도,예영로
고라니,2019-12-27,국도,일반국도7호선
고라니,2019-12-27,지방도,지방도611호선
고라니,2019-12-27,국도,3
고라니,2019-12-27,지방도,지방도624호선
고라니,2019-12-26,시도,무궁화로
고라니,2019-12-26,고속국도(재정),중앙고속도로
고양이,2019-12-26,고속국도(재정),중앙고속도로
고라니,2019-12-26,고속국도(재정),서해안고속도로
너구리,2019-12-26,시도,중앙로
너구리,2019-12-26,국도,일반국도33호선
고양이,2019-12-26,국도,국가지원지방도60
고라니,2019-12-26,국도,일반국도37호선
고양이,2019-12-26,국도,6
고양이,2019-12-26,국도,일반국도19호선
삵,2019-12-26,국도,영남대로
고라니,2019-12-26,국도,일반국도19호선
개,2019-12-26,지방도,대호만로
고라니,2019-12-26,국도,일반국도37호선
고라니,2019-12-26,국도,37
고라니,2019-12-26,국도,45
고라니,2019-12-26,국도,일반국도14호선
고라니,2019-12-26,국도,일반국도1호선
개,2019-12-26,국도,3
고라니,2019-12-26,국도,일반국도17호선
고라니,2019-12-26,고속국도(재정),당진영덕고속도로
족제비,2019-12-26,국도,일반국도34호선
고라니,2019-12-26,국도,일반국도38호선
삵,2019-12-26,국도,일반국도13호선
고라니,2019-12-26,국도,일반국도34호선
너구리,2019-12-26,고속국도(재정),천안논산고속도로
너구리,2019-12-26,국도,일반국도28호선
삵,2019-12-26,지방도,지방도649호선
너구리,2019-12-26,지방도,지방도649호선
고라니,2019-12-26,국도,영동로
개,2019-12-26,지방도,지방도615호선
고라니,2019-12-26,고속국도(재정),당진영덕고속도로
고양이,2019-12-26,국도,일반국도30호선
고라니,2019-12-26,국도,일반국도7호선
고라니,2019-12-26,국도,6
너구리,2019-12-26,국도,합천대로
고라니,2019-12-26,국도,일반국도42호선
고라니,2019-12-26,고속국도(재정),영동고속도로
고라니,2019-12-26,고속국도(재정),평택-시흥고속국도
고라니,2019-12-26,고속국도(재정),중부고속도로
고라니,2019-12-25,고속국도(재정),부산울산고속도로
고양이,2019-12-25,지방도,남부로
고양이,2019-12-25,시도,동부1로
고라니,2019-12-25,지방도,대호만로
고라니,2019-12-25,지방도,대호만로
고라니,2019-12-25,지방도,대호만로
고라니,2019-12-25,국도,일반국도33호선
고라니,2019-12-25,국도,국가지원지방도82호선
고라니,2019-12-24,국도,일반국도36호선
고양이,2019-12-24,국도,일반국도34호선
고라니,2019-12-24,국도,우주항공로
고라니,2019-12-24,국도,일반국도34호선
고라니,2019-12-24,국도,일반국도34호선
고라니,2019-12-24,국도,일반국도34호선
고라니,2019-12-24,국도,일반국도23호선
고라니,2019-12-24,국도,일반국도1호선
고양이,2019-12-24,국도,일반국도23호선
너구리,2019-12-24,국도,낙동대로
고라니,2019-12-24,지방도,지방도1호선
고라니,2019-12-24,국도,낙동대로
